date,temp,atmospheric_pressure,pressure_change,humidity,wind_direction,wind_speed_m_s,precipitation
19.12.2016 08:00,-4.0,766.1,4.1,91,"Calm, no wind",0,
19.12.2016 05:00,-4.5,762.0,-3.7,91,Wind blowing from the west-southwest,1,
19.12.2016 02:00,-3.4,765.7,3.3,91,Wind blowing from the north-east,1,
18.12.2016 23:00,-2.1,762.4,-3.0,87,"Calm, no wind",0,
18.12.2016 20:00,-0.6,765.4,4.3,79,Wind blowing from the north-east,1,
18.12.2016 17:00,4.3,761.1,-2.8,60,Wind blowing from the south-west,1,
18.12.2016 14:00,7.1,763.9,1.1,45,Wind blowing from the west,1,
18.12.2016 11:00,3.4,762.8,-2.9,53,"Calm, no wind",0,
18.12.2016 08:00,-3.8,765.7,3.9,88,Wind blowing from the east-northeast,1,
18.12.2016 05:00,-4.0,761.8,-3.6,89,"Calm, no wind",0,
18.12.2016 02:00,-3.3,765.4,3.5,90,Wind blowing from the east-northeast,1,
17.12.2016 23:00,-2.1,761.9,-3.1,87,Wind blowing from the east-northeast,1,
17.12.2016 20:00,-0.2,765.0,4.6,79,Wind blowing from the east-northeast,1,
17.12.2016 17:00,3.3,760.4,-2.6,60,Wind blowing from the east-southeast,2,
17.12.2016 14:00,4.9,763.0,1.8,48,Wind blowing from the east,2,
17.12.2016 11:00,1.9,761.2,-2.6,55,Wind blowing from the east,2,
17.12.2016 08:00,-2.5,763.8,3.8,61,Wind blowing from the east,2,
17.12.2016 05:00,-2.9,760.0,-4.0,65,Wind blowing from the east-northeast,1,
17.12.2016 02:00,-2.0,764.0,3.7,73,Wind blowing from the east-northeast,1,
16.12.2016 23:00,-1.5,760.3,-3.6,70,Wind blowing from the east,1,
16.12.2016 20:00,-0.6,763.9,3.2,63,Wind blowing from the east-southeast,1,
16.12.2016 17:00,4.0,760.7,-4.5,45,Wind blowing from the west-southwest,1,
16.12.2016 14:00,5.8,765.2,0.6,33,Wind blowing from the south,2,
16.12.2016 11:00,1.3,764.6,-4.7,54,Wind blowing from the south-west,2,
16.12.2016 08:00,-4.5,769.3,3.0,74,Wind blowing from the east-northeast,1,
16.12.2016 05:00,-5.2,766.3,-4.6,72,Wind blowing from the south,1,
16.12.2016 02:00,-2.3,770.9,2.3,53,Wind blowing from the south-west,1,
15.12.2016 23:00,-2.7,768.6,-3.9,52,Wind blowing from the south-southwest,1,
15.12.2016 20:00,1.3,772.5,3.6,27,Wind blowing from the north-northwest,1,
15.12.2016 17:00,3.7,768.9,-3.3,19,Wind blowing from the north-east,2,
15.12.2016 14:00,4.8,772.2,2.2,20,Wind blowing from the north,4,
15.12.2016 11:00,3.1,770.0,-1.6,25,Wind blowing from the north,5,
15.12.2016 08:00,0.5,771.6,5.4,33,Wind blowing from the north,5,
15.12.2016 05:00,-5.4,766.2,-3.7,65,Wind blowing from the east-northeast,2,
15.12.2016 02:00,-5.1,769.9,3.7,62,Wind blowing from the south-west,1,
14.12.2016 23:00,-3.2,766.2,-4.0,45,Wind blowing from the south-southwest,1,
14.12.2016 20:00,-1.4,770.2,3.5,37,Wind blowing from the south-west,2,
14.12.2016 17:00,0.5,766.7,-4.3,33,Wind blowing from the west-southwest,3,
14.12.2016 14:00,2.9,771.0,0.4,20,Wind blowing from the south-southwest,3,
14.12.2016 11:00,-0.1,770.6,-3.6,23,Wind blowing from the east-northeast,3,
