date,temp,atmospheric_pressure,pressure_change,humidity,wind_direction,wind_speed_m_s,precipitation
01.09.2019 05:00,18.7,754.7,-3.2,70,Wind blowing from the east,1,
01.09.2019 02:00,22.1,757.9,3.0,56,Wind blowing from the south-southwest,2,
31.08.2019 23:00,23.2,754.9,-2.3,52,Wind blowing from the south-southwest,1,
31.08.2019 20:00,26.7,757.2,4.0,40,Wind blowing from the south-southwest,2,
31.08.2019 17:00,30.5,753.2,-3.4,29,Wind blowing from the south-southwest,3,
31.08.2019 14:00,30.5,756.6,1.7,22,Wind blowing from the south-southwest,2,
31.08.2019 11:00,28.3,754.9,-3.3,32,Wind blowing from the north-northeast,2,
31.08.2019 08:00,23.3,758.2,4.2,48,Wind blowing from the north-east,2,
31.08.2019 05:00,17.5,754.0,-3.0,71,"Calm, no wind",0,
31.08.2019 02:00,21.0,757.0,2.9,52,Wind blowing from the south-southwest,1,
30.08.2019 23:00,23.0,754.1,-2.0,43,Wind blowing from the south-west,2,
30.08.2019 20:00,26.3,756.1,4.1,33,Wind blowing from the south-southwest,2,
30.08.2019 17:00,30.7,752.0,-3.7,25,Wind blowing from the south-southwest,3,
30.08.2019 14:00,29.1,755.7,1.9,27,Wind blowing from the north-northeast,3,
30.08.2019 11:00,28.0,753.8,-2.7,29,Wind blowing from the north-east,5,
30.08.2019 08:00,24.8,756.5,3.7,38,Wind blowing from the north-west,3,
30.08.2019 05:00,22.8,752.8,-2.7,42,Wind blowing from the north-northwest,2,
30.08.2019 02:00,24.1,755.5,3.3,38,Wind blowing from the north-northwest,2,
29.08.2019 23:00,25.6,752.2,-1.9,34,Wind blowing from the north-northwest,2,
29.08.2019 20:00,25.4,754.1,3.8,33,"Calm, no wind",0,
29.08.2019 17:00,29.4,750.3,-3.7,23,Wind blowing from the north-northwest,3,
29.08.2019 14:00,28.9,754.0,2.0,25,Wind blowing from the east,1,
29.08.2019 11:00,26.6,752.0,-3.1,28,Wind blowing from the north-northwest,3,
29.08.2019 08:00,23.7,755.1,4.3,33,Wind blowing from the north,4,
29.08.2019 05:00,20.0,750.8,-3.1,43,Wind blowing from the north-west,1,
29.08.2019 02:00,19.2,753.9,2.9,49,Wind blowing from the north-east,1,
28.08.2019 23:00,24.8,751.0,-2.2,31,Wind blowing from the north,4,
28.08.2019 20:00,26.8,753.2,5.2,24,Wind blowing from the north-northwest,4,
28.08.2019 17:00,30.4,748.0,-3.6,23,Wind blowing from the west-northwest,6,
28.08.2019 14:00,30.3,751.6,1.9,24,Wind blowing from the north-west,6,
28.08.2019 11:00,28.2,749.7,-3.0,26,Wind blowing from the north-west,3,
28.08.2019 08:00,27.2,752.7,4.2,24,Wind blowing from the north-west,3,
28.08.2019 05:00,18.1,748.5,-3.4,53,Wind blowing from the west,1,
28.08.2019 02:00,22.4,751.9,2.6,35,Wind blowing from the west,2,
27.08.2019 23:00,25.0,749.3,-2.6,39,Wind blowing from the west-northwest,1,
27.08.2019 20:00,28.2,751.9,3.9,35,Wind blowing from the west-southwest,3,
27.08.2019 17:00,33.1,748.0,-3.6,20,Wind blowing from the south-west,4,
27.08.2019 14:00,33.1,751.6,1.7,18,Wind blowing from the north-northwest,4,
27.08.2019 11:00,30.7,749.9,-3.8,26,Wind blowing from the west-northwest,4,
27.08.2019 08:00,23.4,753.7,3.2,75,Wind blowing from the north-northwest,2,
27.08.2019 05:00,18.6,750.5,-3.5,92,Wind blowing from the east-northeast,1,
27.08.2019 02:00,19.9,754.0,2.7,88,Wind blowing from the west-southwest,1,
26.08.2019 23:00,23.1,751.3,-3.0,73,Wind blowing from the west,2,
26.08.2019 20:00,24.3,754.3,4.0,71,Wind blowing from the south-west,2,
26.08.2019 17:00,25.3,750.3,-3.2,66,Wind blowing from the south-southwest,2,
26.08.2019 14:00,25.7,753.5,2.4,62,Wind blowing from the south-southwest,2,
26.08.2019 11:00,24.0,751.1,-3.4,72,Wind blowing from the south-southwest,2,
26.08.2019 08:00,21.9,754.5,3.3,83,Wind blowing from the south-east,1,
26.08.2019 05:00,20.5,751.2,-3.9,89,Wind blowing from the south-west,1,
26.08.2019 02:00,21.5,755.1,2.8,81,Wind blowing from the south-west,2,
25.08.2019 23:00,23.6,752.3,-2.9,62,Wind blowing from the south-southwest,1,
25.08.2019 20:00,25.8,755.2,3.4,52,Wind blowing from the south-west,2,
25.08.2019 17:00,29.4,751.8,-3.9,40,Wind blowing from the south-southwest,4,
25.08.2019 14:00,29.8,755.7,1.8,35,Wind blowing from the south-southwest,5,
25.08.2019 11:00,28.3,753.9,-3.1,41,Wind blowing from the south-west,5,
25.08.2019 08:00,22.9,757.0,3.8,67,Wind blowing from the south-southwest,1,
25.08.2019 05:00,18.2,753.2,-2.9,83,Wind blowing from the north,1,
25.08.2019 02:00,20.2,756.1,3.2,72,Wind blowing from the south-southeast,1,
24.08.2019 23:00,22.3,752.9,-2.9,62,Wind blowing from the south-southwest,2,
24.08.2019 20:00,25.6,755.8,4.0,44,Wind blowing from the south-west,3,
24.08.2019 17:00,30.2,751.8,-3.4,35,Wind blowing from the south-southwest,4,
24.08.2019 14:00,30.8,755.2,1.7,37,Wind blowing from the south-west,2,
24.08.2019 11:00,28.6,753.5,-3.4,41,Wind blowing from the west-northwest,1,
24.08.2019 08:00,24.7,756.9,3.5,61,Wind blowing from the north-east,2,
24.08.2019 05:00,20.1,753.4,-2.9,76,Wind blowing from the north-west,1,
24.08.2019 02:00,23.0,756.3,2.8,62,Wind blowing from the north-northeast,1,
23.08.2019 23:00,24.1,753.5,-2.6,53,Wind blowing from the south-west,1,
23.08.2019 20:00,25.8,756.1,4.0,47,Wind blowing from the south,1,
23.08.2019 17:00,28.2,752.1,-3.1,35,Wind blowing from the east-northeast,1,
23.08.2019 14:00,30.2,755.2,1.8,26,Wind blowing from the north,3,
23.08.2019 11:00,28.5,753.4,-3.4,26,Wind blowing from the north-northeast,3,
23.08.2019 08:00,24.3,756.8,4.1,42,Wind blowing from the north-east,3,
23.08.2019 05:00,16.7,752.7,-2.7,83,Wind blowing from the north-east,1,
23.08.2019 02:00,19.2,755.4,3.3,78,Wind blowing from the east-northeast,1,
22.08.2019 23:00,22.4,752.1,-2.5,68,Wind blowing from the south,1,
22.08.2019 20:00,25.0,754.6,3.7,51,Wind blowing from the south-west,1,
22.08.2019 17:00,29.6,750.9,-3.7,29,Wind blowing from the west,3,
22.08.2019 14:00,28.7,754.6,2.2,27,Wind blowing from the north-northwest,2,
22.08.2019 11:00,27.8,752.4,-3.2,33,Wind blowing from the north-northwest,2,
22.08.2019 08:00,24.8,755.6,3.9,40,Wind blowing from the north-northeast,2,
22.08.2019 05:00,21.7,751.7,-2.6,56,Wind blowing from the west-northwest,2,
22.08.2019 02:00,20.7,754.3,3.1,73,"Calm, no wind",0,
21.08.2019 23:00,24.1,751.2,-2.8,50,Wind blowing from the west,1,
21.08.2019 20:00,26.8,754.0,3.4,39,Wind blowing from the west-southwest,1,
21.08.2019 17:00,31.1,750.6,-3.6,26,Wind blowing from the west,3,
21.08.2019 14:00,30.0,754.2,2.1,26,Wind blowing from the north-northwest,2,
21.08.2019 11:00,27.9,752.1,-3.1,33,Wind blowing from the north-west,2,
21.08.2019 08:00,24.3,755.2,4.2,53,Wind blowing from the north,3,
21.08.2019 05:00,18.7,751.0,-2.7,93,Wind blowing from the north,1,
21.08.2019 02:00,20.1,753.7,2.8,89,Wind blowing from the north-east,1,
20.08.2019 23:00,21.2,750.9,-2.4,82,Wind blowing from the north-northeast,2,
20.08.2019 20:00,21.6,753.3,3.7,81,Wind blowing from the north-northeast,1,0.4
20.08.2019 17:00,21.6,749.6,-2.9,85,Wind blowing from the east,2,
20.08.2019 14:00,21.3,752.5,2.8,90,Wind blowing from the east,2,3
20.08.2019 11:00,21.8,749.7,-2.8,86,Wind blowing from the east-southeast,1,
20.08.2019 08:00,22.6,752.5,2.6,85,Wind blowing from the south-west,3,1
20.08.2019 05:00,23.9,749.9,-3.4,73,Wind blowing from the south-southwest,2,
20.08.2019 02:00,25.4,753.3,2.3,63,Wind blowing from the south-east,1,
19.08.2019 23:00,26.5,751.0,-2.4,58,Wind blowing from the south-southwest,3,
19.08.2019 20:00,28.1,753.4,3.5,55,Wind blowing from the south,2,
19.08.2019 17:00,29.8,749.9,-3.2,49,Wind blowing from the south-southwest,4,
19.08.2019 14:00,30.4,753.1,2.1,49,Wind blowing from the south-west,4,
19.08.2019 11:00,28.3,751.0,-2.7,53,Wind blowing from the south,4,
19.08.2019 08:00,24.3,753.7,3.7,68,Wind blowing from the south-west,1,
19.08.2019 05:00,21.4,750.0,-2.8,79,Wind blowing from the south-west,2,
19.08.2019 02:00,22.8,752.8,3.5,76,Wind blowing from the south-southwest,2,
18.08.2019 23:00,24.4,749.3,-2.3,68,Wind blowing from the south-southwest,1,
18.08.2019 20:00,26.9,751.6,3.5,54,Wind blowing from the south,2,
18.08.2019 17:00,30.1,748.1,-3.4,37,Wind blowing from the south,2,
18.08.2019 14:00,30.8,751.5,1.9,31,Wind blowing from the south-southeast,2,
18.08.2019 11:00,28.8,749.6,-3.0,31,Wind blowing from the east-northeast,2,
18.08.2019 08:00,24.2,752.6,4.4,42,Wind blowing from the north-northeast,2,
18.08.2019 05:00,17.5,748.2,-2.6,71,Wind blowing from the north-east,1,
18.08.2019 02:00,20.1,750.8,3.3,64,Wind blowing from the north-west,1,
17.08.2019 23:00,22.4,747.5,-2.0,52,Wind blowing from the north-east,1,
17.08.2019 20:00,26.2,749.5,4.5,34,Wind blowing from the west-northwest,1,
17.08.2019 17:00,32.0,745.0,-3.5,21,Wind blowing from the north-northwest,2,
17.08.2019 14:00,30.8,748.5,1.8,26,Wind blowing from the north-west,5,
17.08.2019 11:00,28.5,746.7,-2.8,27,Wind blowing from the north-west,5,
17.08.2019 08:00,26.2,749.5,3.9,31,Wind blowing from the north,3,
17.08.2019 05:00,19.8,745.6,-2.9,50,Wind blowing from the west-southwest,2,
17.08.2019 02:00,20.3,748.5,3.2,52,Wind blowing from the west-northwest,1,
16.08.2019 23:00,26.8,745.3,-1.9,26,Wind blowing from the north-northwest,4,
16.08.2019 20:00,24.5,747.2,3.6,40,"Calm, no wind",0,
16.08.2019 17:00,29.2,743.6,-2.3,27,Wind blowing from the north-west,4,
16.08.2019 14:00,28.3,745.9,2.8,35,Wind blowing from the north-west,5,
16.08.2019 11:00,26.6,743.1,-3.1,36,Wind blowing from the north-northwest,6,
16.08.2019 08:00,24.4,746.2,3.5,42,Wind blowing from the north-west,2,Trace of precipitation
16.08.2019 05:00,23.1,742.7,-3.1,42,Wind blowing from the north-northwest,2,
16.08.2019 02:00,21.6,745.8,5.0,64,Wind blowing from the north-east,2,
15.08.2019 23:00,26.6,740.8,-1.5,39,Wind blowing from the north-northeast,2,
15.08.2019 20:00,30.6,742.3,2.2,30,Wind blowing from the west-northwest,1,Trace of precipitation
15.08.2019 17:00,30.8,740.1,-3.7,50,Wind blowing from the south-west,4,
15.08.2019 14:00,31.2,743.8,0.1,50,Wind blowing from the south,4,
15.08.2019 11:00,30.2,743.7,-4.0,50,Wind blowing from the east-northeast,2,
15.08.2019 08:00,25.2,747.7,3.0,64,Wind blowing from the north-northwest,2,
15.08.2019 05:00,21.8,744.7,-3.3,81,Wind blowing from the north-east,1,
15.08.2019 02:00,21.6,748.0,2.9,80,Wind blowing from the east-northeast,1,
14.08.2019 23:00,23.4,745.1,-3.2,73,Wind blowing from the west-southwest,1,
14.08.2019 20:00,26.7,748.3,3.3,56,Wind blowing from the south-west,1,
14.08.2019 17:00,31.8,745.0,-3.9,34,Wind blowing from the north-east,2,
14.08.2019 14:00,32.1,748.9,2.2,33,Wind blowing from the north-east,4,
14.08.2019 11:00,28.5,746.7,-3.0,50,Wind blowing from the north-northeast,2,
14.08.2019 08:00,27.2,749.7,3.6,58,Wind blowing from the north-east,3,
14.08.2019 05:00,22.3,746.1,-3.5,91,"Calm, no wind",0,
14.08.2019 02:00,23.4,749.6,3.0,83,Wind blowing from the west,1,
13.08.2019 23:00,24.8,746.6,-2.3,75,Wind blowing from the south-southwest,1,
13.08.2019 20:00,28.8,748.9,4.1,57,Wind blowing from the south,2,
13.08.2019 17:00,31.5,744.8,-2.9,46,Wind blowing from the north-northeast,2,
13.08.2019 14:00,31.1,747.7,2.4,45,Wind blowing from the north-northeast,5,
13.08.2019 11:00,28.8,745.3,-2.4,51,Wind blowing from the north-northeast,3,
13.08.2019 08:00,25.2,747.7,3.6,60,Wind blowing from the north-northeast,2,3
